happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,6,Not applicable (Vol.),Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,A few times a week,Only a little,More of an individual problem,No role at all,Major role,Declined to answer,Major role,Mostly have themselves to blame,Not a reason,Not a reason,Not a reason,Major reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,Engaging in conversations with other people,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not sure,No, ,Yes,Once or twice a month,No, ,Never,Never,Never,Never,Not Lonely,50,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a week,Never (Vol.),A few times a week,A few times a week,Never (Vol.),A lot,Not sure,Not sure,Minor role,Not sure,Minor role,Declined to answer,Minor reason,Minor reason,Not sure,Minor reason,Not sure,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Not too happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,6,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,Every day,Every day,Nothing at all,More of a public health problem,Major role,Major role,Minor role,Major role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Less than that, ,Looking at what other people are doing,Weakened,Better,More satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few,No, ,No, ,Yes,Less than that,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,Less than that,Every day,Every day,Never (Vol.),Nothing at all,Not sure,Minor role,Major role,No role at all,Minor role,Not sure,Not a reason,Major reason,Not sure,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,Every day,Less than that,Nothing at all,More of an individual problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,Yes,Once or twice a month,Never,Never,Sometimes,"Rarely, or",Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Less than that,A few times a week,A few times a week,Never (Vol.),A lot,Not sure,No role at all,Minor role,No role at all,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Often,Often,"Rarely, or",Sometimes,Lonely,No one,Very satisfied,Not sure,Very satisfied,A few times a month,A few times a week,Less than that,A few times a week,A few times a week,Less than that,Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Not a reason,Not a reason,Minor reason,Not a reason,Yes,Yes,Once or twice a month, ,An equal mix of both,Weakened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Three to five years,Somewhat positive,Somewhat negative,No impact,No impact,Rarely,Never,Never,Rarely,Almost always,Never,Sometimes,Never,Never,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Major reason,Not a reason,No,No
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Declined to answer,No, ,No, ,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,No one,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Less than that,Less than that,Every day,A few times a year,Never (Vol.),Only a little,More of an individual problem,Minor role,Minor role,Minor role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Once or twice a month,No, ,Never,Not sure,Not sure,Not sure,Not Lonely,15,Somewhat dissatisfied,Very satisfied,Very satisfied,A few times a month,Every day,A few times a week,A few times a month,A few times a month,A few times a week,A lot,More of an individual problem,Major role,Minor role,Minor role,Major role,Not sure,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Not sure,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,Yes,About once a week,Often,Sometimes,Never,"Rarely, or",Lonely,10,Very dissatisfied,Very dissatisfied,Somewhat satisfied,Every day,Every day,A few times a month,Every day,Every day,A few times a week,Some,Not sure,No role at all,Not sure,Not sure,Not sure,Due to factors and circumstances beyond their control,Not sure,Not a reason,Major reason,Not sure,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Both/Neither (Vol.),No impact (Vol.),Equally satisfied,More satisfied,"No, would not recommend",Easier,Major problem,No specific cause for feelings of loneliness,Continually lonely,More than ten year,Very negative,Somewhat negative,Very negative,No impact,Rarely,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Rarely,Yes,Yes,Yes,Yes,Yes,No,Not too helpful, , , , , , ,No,No
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a month,Every day,Every day,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Major reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Always,Never,Never,Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Never (Vol.),A few times a month,A few times a month,Never (Vol.),Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Not a reason,Not sure,Minor reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Not sure,Declined to answer,No impact,No impact,No impact,No impact,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Rarely,Almost always,Yes,No,No,Yes,No,No,Not at all helpful, , , , , , ,No,No
Not too happy,Somewhat dissatisfied,Very dissatisfied,Declined to answer,Very dissatisfied,Just a few,No, ,Yes,About once a week,No, ,Always,"Rarely, or",Often,Often,Lonely,No one,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,Every day,Less than that,A few times a month,A few times a month,Never (Vol.),Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,6 months to less than a year,No impact,Not applicable/Not employed/Retired/Disabled (Vol.),No impact,No impact,Never,Never,Never,Almost always,Sometimes,Never,Rarely,Never,Never,Never,Yes,Yes,No,No,No,No,Not too helpful, , , , , , ,No,No
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,Yes,About once a week,Never,Never,"Rarely, or",Never,Not Lonely,8,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Never (Vol.),Every day,A few times a week,Every day,Nothing at all,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Not a reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Declined to answer,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,No one,Yes,Several times a week,No, ,No, ,Never,Never,Often,Sometimes,Lonely,No one,Very satisfied,Very satisfied,Very satisfied,Less than that,A few times a week,A few times a year,Every day,Every day,Every day,Nothing at all,Not sure,No role at all,No role at all,Not sure,No role at all,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Declined to answer,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Easier,Isn't really a problem,No specific cause for feelings of loneliness,Continually lonely,More than ten year,Very positive,Very positive,No impact,Very positive,Almost always,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Never,No, , , , , , ,Not a reason,Major reason,Not a reason,Not a reason,Major reason,Not a reason,No,No
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or",Never,Not Lonely,2,Very satisfied,Very satisfied,Very satisfied,Every day,A few times a week,Never (Vol.),A few times a week,A few times a week,A few times a week,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Major reason,Not a reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Very satisfied,Somewhat dissatisfied,A fair amount,Yes,Several times a week,No, ,Yes,Once or twice a month,Sometimes,Never,Never,Never,Not Lonely,5,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Never (Vol.),A few times a month,Every day,Never (Vol.),Nothing at all,More of an individual problem,No role at all,Minor role,No role at all,Major role,Mostly have themselves to blame,Minor reason,Major reason,Not a reason,Not a reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or",Often,Lonely,5,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a month,A few times a month,Never (Vol.),A few times a year,A few times a month,Never (Vol.),Only a little,More of a public health problem,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Major reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,Somewhat positive,Somewhat negative,No impact,Sometimes,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,No, , , , , , ,Minor reason,Not a reason,Not a reason,Major reason,Not a reason,Minor reason,No,Not sure
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A lot,Yes,Several times a week,Yes,About once a week,Yes,Once or twice a month,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Every day,Only a little,More of a public health problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Minor reason,Minor reason,Not a reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or","Rarely, or",Not Lonely,4,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Every day,A few times a week,Never (Vol.),A few times a week,Every day,Never (Vol.),Some,More of an individual problem,Minor role,Major role,Major role,Minor role,Both equally/It depends (Vol.),Not a reason,Minor reason,Not a reason,Minor reason,Major reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,Every day,A few times a week,A few times a week,Some,More of an individual problem,No role at all,Major role,Minor role,Minor role,Both equally/It depends (Vol.),Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Both/Neither (Vol.),No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A lot,No, ,No, ,Yes,Several times a week,Never,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,25,Somewhat satisfied,Very satisfied,Somewhat satisfied,Every day,Every day,Every day,Every day,A few times a week,Every day,Nothing at all,More of a public health problem,Minor role,Major role,Major role,No role at all,Due to factors and circumstances beyond their control,Not a reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Equally satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,Yes,About once a week,Often,Sometimes,Sometimes,Sometimes,Lonely,3,Very satisfied,Very satisfied,Somewhat satisfied,Every day,A few times a week,A few times a week,A few times a month,A few times a year,A few times a week,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,6 months to less than a year,No impact,No impact,Somewhat negative,Somewhat negative,Sometimes,Rarely,Never,Never,Sometimes,Almost always,Sometimes,Never,Never,Almost always,No, , , , , , ,Minor reason,Major reason,Major reason,Major reason,Major reason,Major reason,No,No
Somewhat happy,Very satisfied,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A lot,No, ,No, ,No, ,"Rarely, or",Never,Never,"Rarely, or",Not Lonely,3,Somewhat dissatisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a month,A few times a month,A few times a month,Some,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Sometimes,"Rarely, or",Never,Not Lonely,5,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a week,A few times a year,Every day,A few times a week,A few times a year,Some,More of an individual problem,No role at all,Minor role,Minor role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,No, ,Never,Never,Never,Never,Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,Every day,Every day,Only a little,More of an individual problem,No role at all,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Minor reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Not sure,Better,Less satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Sometimes,Never,Never,Not Lonely,6,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Never (Vol.),Every day,Every day,Never (Vol.),Some,More of an individual problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,8,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,Every day,Every day,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Minor reason,Major reason,Minor reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
