1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,qnage,qnage2,qnrsex,qnstate,qnmarita,qndhh1,qnkids,qnkidsag,qnkidsad,qnemptyn,qn50a,qn50b,qn50c,qn50d,qn50e,qn50f,qn50g,qn50h,qnhealth,qnmhealt,qndebili,qnmcondi,qnemploy,qnpartyu,qneducus,qnreligo,qnhispan,qnraceus,qnrace_1,qnnativi,qnincome,qnl1,qnc1,qnusr,int1,recage,recage2,recage3,gender,rechealt,rechea_1,recemplo,receduc,receduc2,receduc3,racethn,racethn2,recincom,q5_any_o,q50_yes_,hphoneus,cstate,final_ms,cregion,density,division,urban,usr,endlang,intdate,wt1,weight
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,6,Not applicable (Vol.),Very satisfied,Very satisfied,A few times a month,A few times a month,A few times a month,A few times a week,A few times a week,A few times a week,Only a little,More of an individual problem,No role at all,Major role,Declined to answer,Major role,Mostly have themselves to blame,Not a reason,Not a reason,Not a reason,Major reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,Engaging in conversations with other people,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Less satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,67, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,No,Yes,Excellent,Excellent,No,No,Retired,Independent,High school graduate (Grade 12 with diploma or GED certificate),Once a week,No,White, , ,"$50,000 to less than $75,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,West Virginia,Rural- Non-Metro,South,2,South Atlantic,4,Suburban,EN,20180419,0.7055,0.8368
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not sure,No, ,Yes,Once or twice a month,No, ,Never,Never,Never,Never,Not Lonely,50,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,A few times a week,Never (Vol.),A few times a week,A few times a week,Never (Vol.),A lot,Not sure,Not sure,Minor role,Not sure,Minor role,Declined to answer,Minor reason,Minor reason,Not sure,Minor reason,Not sure,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60, ,Male, ,Married,2,0, ,No, ,No,No,No,No,No,Yes,No,Yes,Very good,Excellent,No,No,Employed full-time,Democrat,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Once a week,No,Black or African-American, , ,Not sure,Yes respondent or someone else has cell phone in household, ,Rural, ,18-64,50-64,55-64,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,Less than high school,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,Dual HH,North Carolina,Rural- Non-Metro,South,2,South Atlantic,4,Suburban,EN,20180419,0.7055,1.057
Not too happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,6,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,Every day,Every day,Nothing at all,More of a public health problem,Major role,Major role,Minor role,Major role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Less than that, ,Looking at what other people are doing,Weakened,Better,More satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, ,Male, ,Married,2,0, ,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Poor,Very good,Yes,No,Retired,Independent,High school graduate (Grade 12 with diploma or GED certificate),Never,No,White, , ,Declined to answer,Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,MALE,Only fair/Poor,Only fair/Poor,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,No to all,Yes to any,Dual HH,New Jersey,Urban- Center City (Metro),Northeast,4,Mid Atlantic,3,Suburban,EN,20180419,0.7055,0.7856
Very happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few,No, ,No, ,Yes,Less than that,Never,Never,Never,Never,Not Lonely,2,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,Less than that,Every day,Every day,Never (Vol.),Nothing at all,Not sure,Minor role,Major role,No role at all,Minor role,Not sure,Not a reason,Major reason,Not sure,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75, ,Female, ,"Single, that is never married",1,0, ,No, ,No,No,No,No,No,Yes,Yes,No,Only fair,Only fair,Yes,No,Retired,Democrat,Less than high school (Grades 1-8 or no formal schooling),Once a week,No,Black or African-American, , ,Declined to answer,No, ,Urban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Retired,Less than high school,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,LLO HH,New York,Urban- Center City (Metro),Northeast,Highest,Mid Atlantic,1,Urban,EN,20180419,0.7387,1.9412
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,3,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,Every day,Less than that,Nothing at all,More of an individual problem,Major role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Minor reason,Not a reason,No,No, , , , , , , ,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, ,Female, ,Divorced,1,0, ,Yes,No,Yes,Yes,No,No,No,No,No,No,Only fair,Very good,No,No,Retired,Democrat,High school graduate (Grade 12 with diploma or GED certificate),More than once a week,No,Black or African-American, , ,"Less than $20,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,65-79,65-79,FEMALE,Only fair/Poor,Only fair/Poor,Retired,High school graduate,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,No to all,Yes to any,Dual HH,Texas,Urban- Center City (Metro),South,Highest,West South Central,1,Urban,EN,20180419,0.4775,1.0064
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,Yes,Once or twice a month,Never,Never,Sometimes,"Rarely, or",Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Less than that,A few times a week,A few times a week,Never (Vol.),A lot,Not sure,No role at all,Minor role,No role at all,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76, ,Female, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,Yes,No,Very good,Good,No,No,Retired,Republican,High school graduate (Grade 12 with diploma or GED certificate),Once a week,No,White, , ,"$30,000 to less than $40,000",No, ,Rural, ,65+,65-79,65-79,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,LLO HH,Wisconsin,Rural- Non-Metro,North Central,Lowest,East North Central,5,Rural,EN,20180419,1.4775,1.4798
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Often,Often,"Rarely, or",Sometimes,Lonely,No one,Very satisfied,Not sure,Very satisfied,A few times a month,A few times a week,Less than that,A few times a week,A few times a week,Less than that,Only a little,More of an individual problem,No role at all,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Not a reason,Not a reason,Minor reason,Not a reason,Yes,Yes,Once or twice a month, ,An equal mix of both,Weakened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Isn't really a problem,Death/loss of a spouse/significant other,Loneliness comes and goes,Three to five years,Somewhat positive,Somewhat negative,No impact,No impact,Rarely,Never,Never,Rarely,Almost always,Never,Sometimes,Never,Never,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Major reason,Not a reason,No,No,82, ,Male, ,"Widowed, or",2,0, ,Yes,No,No,No,No,No,No,Yes,Yes,No,Very good,Good,Yes,No,Retired,Republican,Two-year associate degree from a college or university,Seldom,No,White, , ,"$40,000 to less than $50,000",Yes respondent or someone else has cell phone in household, ,Suburban, ,65+,80+,80-97,MALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,Arizona,Urban- Center City (Metro),West,Lowest,Mountain,3,Suburban,EN,20180419,0.7055,0.3518
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Declined to answer,No, ,No, ,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,No one,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Less than that,Less than that,Every day,A few times a year,Never (Vol.),Only a little,More of an individual problem,Minor role,Minor role,Minor role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,No,No,No,Excellent,Excellent,No,No,Retired,Republican,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Never,No,White, , ,Declined to answer,No, ,Rural, ,65+,80+,80-97,MALE,Excellent/Very Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,No to all,LLO HH,Idaho,Rural- Non-Metro,West,Lowest,Mountain,5,Rural,EN,20180419,1.4775,1.053
Somewhat happy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,Once or twice a month,No, ,Never,Not sure,Not sure,Not sure,Not Lonely,15,Somewhat dissatisfied,Very satisfied,Very satisfied,A few times a month,Every day,A few times a week,A few times a month,A few times a month,A few times a week,A lot,More of an individual problem,Major role,Minor role,Minor role,Major role,Not sure,Minor reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Not sure,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68, ,Male, ,Divorced,3,0, ,No, ,No,Yes,Yes,No,No,No,No,No,Very good,Very good,No,No,Employed full-time,Republican,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once or twice a month,No,White, , ,"$50,000 to less than $75,000",No, ,Urban, ,65+,65-79,65-79,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,LLO HH,Arizona,Urban- Center City County (Metro),West,3,Mountain,1,Urban,EN,20180419,2.2162,2.3489
Somewhat happy,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,Yes,About once a week,Often,Sometimes,Never,"Rarely, or",Lonely,10,Very dissatisfied,Very dissatisfied,Somewhat satisfied,Every day,Every day,A few times a month,Every day,Every day,A few times a week,Some,Not sure,No role at all,Not sure,Not sure,Not sure,Due to factors and circumstances beyond their control,Not sure,Not a reason,Major reason,Not sure,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Both/Neither (Vol.),No impact (Vol.),Equally satisfied,More satisfied,"No, would not recommend",Easier,Major problem,No specific cause for feelings of loneliness,Continually lonely,More than ten year,Very negative,Somewhat negative,Very negative,No impact,Rarely,Rarely,Never,Never,Rarely,Never,Sometimes,Rarely,Never,Rarely,Yes,Yes,Yes,Yes,Yes,No,Not too helpful, , , , , , ,No,No,54, ,Female, ,Divorced,1,0, ,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Poor,Only fair,Yes,Yes,Employed full-time,Or what?,"Some college, no degree (includes some community college)",Never,No,Other or mixed race (SPECIFY),some other race, ,"$40,000 to less than $50,000",Yes respondent or someone else has cell phone in household, ,Urban, ,18-64,50-64,45-54,FEMALE,Only fair/Poor,Only fair/Poor,Employed,Some college,Some college,Less than college,"Other, non-Hispanic","Other, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,California,Urban- Center City County (Metro),West,Highest,Pacific,2,Urban,EN,20180419,0.4775,1.1041
